ID;Site_name;Longitude;Latitude;Power;Uplink_1;Uplink_2;Uplink_3;Uplink_4;Uplink_5;Uplink_6;Downlink_1;Downlink_2;Downlink_3;Downlink_4;Downlink_5;Downlink_6;Azimuth;Tilt;Height
870950;M_4G_PODGO4G_800;28.83677778;47.05102778;35.8;703;708;713;718;723;728;758;763;768;773;778;783;20;7;14
870951;M_4G_PODGO4G_800;28.83677778;47.05102778;35.8;703;708;713;718;723;728;758;763;768;773;778;783;175;10;14
870952;M_4G_PODGO4G_800;28.83677778;47.05102778;35.8;703;708;713;718;723;728;758;763;768;773;778;783;290;8;14
21862;M_4G_PORUMBENI_PORMB4G;28.85161111;47.15849722;19.1;703;708;713;718;723;728;758;763;768;773;778;783;155;4;34
21863;M_4G_PORUMBENI_PORMB4G;28.85161111;47.15849722;20;703;708;713;718;723;728;758;763;768;773;778;783;235;3;34
21864;M_4G_PORUMBENI_PORMB4G;28.85161111;47.15849722;19.1;703;708;713;718;723;728;758;763;768;773;778;783;315;3;34
21865;M_4G_PORUMBENI_PORMB4G;28.85161111;47.15849722;17.8;703;708;713;718;723;728;758;763;768;773;778;783;235;3;34
127278;M_4G_POSTA4G;28.83996667;47.06047222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;40;6;25
658480;M_4G_POSTA4G;28.83996667;47.06047222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;40;6;25
658481;M_4G_POSTA4G;28.83996667;47.06047222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;120;6;25
658482;M_4G_POSTA4G;28.83996667;47.06047222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;320;4;25
127279;M_4G_POSTA4G;28.83996667;47.06047222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;120;6;25
127280;M_4G_POSTA4G;28.83996667;47.06047222;35.8;703;708;713;718;723;728;758;763;768;773;778;783;320;4;25
1900448;M_4G_PRETB4G;28.81972222;47.03416667;29.5;703;708;713;718;723;728;758;763;768;773;778;783;1;10;26
1900449;M_4G_PRETB4G;28.81972222;47.03416667;29.5;703;708;713;718;723;728;758;763;768;773;778;783;120;10;26
1900450;M_4G_PRETB4G;28.81972222;47.03416667;29.5;703;708;713;718;723;728;758;763;768;773;778;783;260;12;26
870953;M_4G_PRETB4G_800;28.81992778;47.03428333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;0;18;26
870954;M_4G_PRETB4G_800;28.81992778;47.03428333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;120;16;26
870955;M_4G_PRETB4G_800;28.81992778;47.03428333;35.8;703;708;713;718;723;728;758;763;768;773;778;783;260;16;26
127281;M_4G_PROTE4G;28.84806667;47.02849444;35.8;703;708;713;718;723;728;758;763;768;773;778;783;75;8;18
127282;M_4G_PROTE4G;28.84806667;47.02849444;35.8;703;708;713;718;723;728;758;763;768;773;778;783;191;5;16
127283;M_4G_PROTE4G;28.84806667;47.02849444;35.8;703;708;713;718;723;728;758;763;768;773;778;783;270;5;16
1900451;M_4G_PRUNCUL_PRUNC4G;28.76888889;47.06444444;29.5;703;708;713;718;723;728;758;763;768;773;778;783;125;8;26
1900452;M_4G_PRUNCUL_PRUNC4G;28.76888889;47.06444444;29.5;703;708;713;718;723;728;758;763;768;773;778;783;210;7;26
1900453;M_4G_PRUNCUL_PRUNC4G;28.76888889;47.06444444;29.5;703;708;713;718;723;728;758;763;768;773;778;783;330;8;26
870956;M_4G_PRUNC4G_800;28.75784444;47.067675;35.8;703;708;713;718;723;728;758;763;768;773;778;783;125;8;26
870957;M_4G_PRUNC4G_800;28.75784444;47.067675;35.8;703;708;713;718;723;728;758;763;768;773;778;783;210;7;26
870958;M_4G_PRUNC4G_800;28.75784444;47.067675;35.8;703;708;713;718;723;728;758;763;768;773;778;783;330;8;26
20932;M_4G_PRUNCUL_PRUNC4G;28.76888889;47.06444444;49.5;703;708;713;718;723;728;758;763;768;773;778;783;45;5;26
22264;M_4G_HINCESTI_RADIOCOMUNICATII_HINTV4G;28.56766667;46.82411111;18.8;703;708;713;718;723;728;758;763;768;773;778;783;55;6;53.9
22266;M_4G_HINCESTI_RADIOCOMUNICATII_HINTV4G;28.56766667;46.82411111;18.8;703;708;713;718;723;728;758;763;768;773;778;783;330;2;53.9
22261;M_4G_HINCESTI_RADIOCOMUNICATII_HINTV4G;28.56766667;46.82411111;17;703;708;713;718;723;728;758;763;768;773;778;783;55;9;53.9
22262;M_4G_HINCESTI_RADIOCOMUNICATII_HINTV4G;28.56766667;46.82411111;17.7;703;708;713;718;723;728;758;763;768;773;778;783;210;4;53.9
22263;M_4G_HINCESTI_RADIOCOMUNICATII_HINTV4G;28.56766667;46.82411111;17;703;708;713;718;723;728;758;763;768;773;778;783;330;2;53.9
